Features,Seed,Accuracy
['dark_cloud_cover'],0,0.0
['dark_cloud_cover'],1,0.0
['dark_cloud_cover'],2,0.0
['dark_cloud_cover'],3,0.0
['dark_cloud_cover'],4,0.0
['dark_cloud_cover'],5,0.0
['dark_cloud_cover'],6,0.0
['dark_cloud_cover'],7,0.0
['dark_cloud_cover'],8,0.0
['dark_cloud_cover'],9,0.0
['doji'],0,0.0
['doji'],1,0.0
['doji'],2,0.0
['doji'],3,0.0
['doji'],4,0.0
['doji'],5,0.0
['doji'],6,0.0
['doji'],7,0.0
['doji'],8,0.0
['doji'],9,0.0
['doji_star'],0,0.0
['doji_star'],1,0.0
['doji_star'],2,0.0
['doji_star'],3,0.0
['doji_star'],4,0.0
['doji_star'],5,0.0
['doji_star'],6,0.0
['doji_star'],7,0.0
['doji_star'],8,0.0
['doji_star'],9,0.0
['dragonfly_doji'],0,0.0
['dragonfly_doji'],1,0.0
['dragonfly_doji'],2,0.0
['dragonfly_doji'],3,0.0
['dragonfly_doji'],4,0.0
['dragonfly_doji'],5,0.0
['dragonfly_doji'],6,0.0
['dragonfly_doji'],7,0.0
['dragonfly_doji'],8,0.0
['dragonfly_doji'],9,0.0
['engulfing'],0,30.491990846681922
['engulfing'],1,30.606407322654462
['engulfing'],2,30.491990846681922
['engulfing'],3,29.51945080091533
['engulfing'],4,30.549199084668192
['engulfing'],5,30.549199084668192
['engulfing'],6,29.51945080091533
['engulfing'],7,29.462242562929063
['engulfing'],8,0.0
['engulfing'],9,0.0
['evening_doji_star'],0,0.0
['evening_doji_star'],1,0.0
['evening_doji_star'],2,0.0
['evening_doji_star'],3,0.0
['evening_doji_star'],4,0.0
['evening_doji_star'],5,0.0
['evening_doji_star'],6,0.0
['evening_doji_star'],7,0.0
['evening_doji_star'],8,0.0
['evening_doji_star'],9,0.0
['evening_star'],0,0.0
['evening_star'],1,0.0
['evening_star'],2,0.0
['evening_star'],3,0.0
['evening_star'],4,0.0
['evening_star'],5,0.0
['evening_star'],6,0.0
['evening_star'],7,0.0
['evening_star'],8,0.0
['evening_star'],9,0.0
['gap_side_by_side'],0,0.0
['gap_side_by_side'],1,0.0
['gap_side_by_side'],2,0.0
['gap_side_by_side'],3,0.0
['gap_side_by_side'],4,0.0
['gap_side_by_side'],5,0.0
['gap_side_by_side'],6,0.0
['gap_side_by_side'],7,0.0
['gap_side_by_side'],8,0.0
['gap_side_by_side'],9,0.0
['gravestone_doji'],0,0.0
['gravestone_doji'],1,0.0
['gravestone_doji'],2,0.0
['gravestone_doji'],3,0.0
['gravestone_doji'],4,0.0
['gravestone_doji'],5,0.0
['gravestone_doji'],6,0.0
['gravestone_doji'],7,0.0
['gravestone_doji'],8,0.0
['gravestone_doji'],9,0.0
['hammer'],0,0.0
['hammer'],1,0.0
['hammer'],2,0.0
['hammer'],3,0.0
['hammer'],4,0.0
['hammer'],5,0.0
['hammer'],6,0.0
['hammer'],7,0.0
['hammer'],8,0.0
['hammer'],9,0.0
['hanging_man'],0,0.0
['hanging_man'],1,0.0
['hanging_man'],2,0.0
['hanging_man'],3,0.0
['hanging_man'],4,0.0
['hanging_man'],5,0.0
['hanging_man'],6,0.0
['hanging_man'],7,0.0
['hanging_man'],8,0.0
['hanging_man'],9,0.0
['harami'],0,0.0
['harami'],1,0.0
['harami'],2,0.0
['harami'],3,0.0
['harami'],4,0.0
['harami'],5,0.0
['harami'],6,0.0
['harami'],7,34.66819221967963
['harami'],8,0.0
['harami'],9,0.0
['harami_cross'],0,0.0
['harami_cross'],1,0.0
['harami_cross'],2,0.0
['harami_cross'],3,0.0
['harami_cross'],4,0.0
['harami_cross'],5,0.0
['harami_cross'],6,0.0
['harami_cross'],7,0.0
['harami_cross'],8,0.0
['harami_cross'],9,0.0
['high_wave'],0,33.23798627002289
['high_wave'],1,33.23798627002289
['high_wave'],2,33.23798627002289
['high_wave'],3,33.23798627002289
['high_wave'],4,33.23798627002289
['high_wave'],5,33.23798627002289
['high_wave'],6,33.23798627002289
['high_wave'],7,33.23798627002289
['high_wave'],8,0.0
['high_wave'],9,0.0
['hikkake'],0,31.521739130434785
['hikkake'],1,35.35469107551488
['hikkake'],2,31.636155606407325
['hikkake'],3,35.35469107551488
['hikkake'],4,31.407322654462245
['hikkake'],5,35.35469107551488
['hikkake'],6,35.35469107551488
['hikkake'],7,35.35469107551488
['hikkake'],8,0.0
['hikkake'],9,31.23569794050343
['homing_pigeon'],0,0.0
['homing_pigeon'],1,0.0
['homing_pigeon'],2,0.0
['homing_pigeon'],3,0.0
['homing_pigeon'],4,0.0
['homing_pigeon'],5,0.0
['homing_pigeon'],6,0.0
['homing_pigeon'],7,0.0
['homing_pigeon'],8,0.0
['homing_pigeon'],9,0.0
['identical_three_crows'],0,0.0
['identical_three_crows'],1,0.0
['identical_three_crows'],2,0.0
['identical_three_crows'],3,0.0
['identical_three_crows'],4,0.0
['identical_three_crows'],5,0.0
['identical_three_crows'],6,0.0
['identical_three_crows'],7,0.0
['identical_three_crows'],8,0.0
['identical_three_crows'],9,0.0
['in_neck'],0,0.0
['in_neck'],1,0.0
['in_neck'],2,0.0
['in_neck'],3,0.0
['in_neck'],4,0.0
['in_neck'],5,0.0
['in_neck'],6,0.0
['in_neck'],7,0.0
['in_neck'],8,0.0
['in_neck'],9,0.0
['inverted_hammer'],0,0.0
['inverted_hammer'],1,0.0
['inverted_hammer'],2,0.0
['inverted_hammer'],3,0.0
['inverted_hammer'],4,0.0
['inverted_hammer'],5,0.0
['inverted_hammer'],6,0.0
['inverted_hammer'],7,0.0
['inverted_hammer'],8,0.0
['inverted_hammer'],9,0.0
['kicking'],0,0.0
['kicking'],1,0.0
['kicking'],2,0.0
['kicking'],3,0.0
['kicking'],4,0.0
['kicking'],5,0.0
['kicking'],6,0.0
['kicking'],7,0.0
['kicking'],8,0.0
['kicking'],9,0.0
['kicking_by_length'],0,0.0
['kicking_by_length'],1,0.0
['kicking_by_length'],2,0.0
['kicking_by_length'],3,0.0
['kicking_by_length'],4,0.0
['kicking_by_length'],5,0.0
['kicking_by_length'],6,0.0
['kicking_by_length'],7,0.0
['kicking_by_length'],8,0.0
['kicking_by_length'],9,0.0
['ladder_bottom'],0,0.0
['ladder_bottom'],1,0.0
['ladder_bottom'],2,0.0
['ladder_bottom'],3,0.0
['ladder_bottom'],4,0.0
['ladder_bottom'],5,0.0
['ladder_bottom'],6,0.0
['ladder_bottom'],7,0.0
['ladder_bottom'],8,0.0
['ladder_bottom'],9,0.0
['long_leader'],0,0.0
['long_leader'],1,0.0
['long_leader'],2,0.0
['long_leader'],3,0.0
['long_leader'],4,0.0
['long_leader'],5,0.0
['long_leader'],6,0.0
['long_leader'],7,0.0
['long_leader'],8,0.0
['long_leader'],9,0.0
['long_line'],0,33.46681922196797
['long_line'],1,33.46681922196797
['long_line'],2,33.46681922196797
['long_line'],3,33.46681922196797
['long_line'],4,33.46681922196797
['long_line'],5,33.46681922196797
['long_line'],6,33.46681922196797
['long_line'],7,33.46681922196797
['long_line'],8,0.0
['long_line'],9,0.0
['marubozu'],0,0.0
['marubozu'],1,0.0
['marubozu'],2,0.0
['marubozu'],3,0.0
['marubozu'],4,33.81006864988558
['marubozu'],5,0.0
['marubozu'],6,0.0
['marubozu'],7,0.0
['marubozu'],8,0.0
['marubozu'],9,0.0
['matching_low'],0,0.0
['matching_low'],1,0.0
['matching_low'],2,0.0
['matching_low'],3,0.0
['matching_low'],4,0.0
['matching_low'],5,0.0
['matching_low'],6,0.0
['matching_low'],7,0.0
['matching_low'],8,0.0
['matching_low'],9,0.0
['mat_hold'],0,0.0
['mat_hold'],1,0.0
['mat_hold'],2,0.0
['mat_hold'],3,0.0
['mat_hold'],4,0.0
['mat_hold'],5,0.0
['mat_hold'],6,0.0
['mat_hold'],7,0.0
['mat_hold'],8,0.0
['mat_hold'],9,0.0
['morning_doji_star'],0,0.0
['morning_doji_star'],1,0.0
['morning_doji_star'],2,0.0
['morning_doji_star'],3,0.0
['morning_doji_star'],4,0.0
['morning_doji_star'],5,0.0
['morning_doji_star'],6,0.0
['morning_doji_star'],7,0.0
['morning_doji_star'],8,0.0
['morning_doji_star'],9,0.0
['morning_star'],0,0.0
['morning_star'],1,0.0
['morning_star'],2,0.0
['morning_star'],3,0.0
['morning_star'],4,0.0
['morning_star'],5,0.0
['morning_star'],6,0.0
['morning_star'],7,0.0
['morning_star'],8,0.0
['morning_star'],9,0.0
['on_neck'],0,0.0
['on_neck'],1,0.0
['on_neck'],2,0.0
['on_neck'],3,0.0
['on_neck'],4,0.0
['on_neck'],5,0.0
