Features,Accuracy
"['close_pc', 'evening_doji_star']",28.67978679786798
"['close_pc', 'evening_star']",28.700287002870027
"['close_pc', 'gap_side_by_side']",42.61992619926199
"['close_pc', 'gravestone_doji']",28.925789257892582
"['close_pc', 'hammer']",28.51578515785158
"['close_pc', 'hanging_man']",30.278802788027882
"['close_pc', 'harami']",41.86141861418614
"['close_pc', 'harami_cross']",20.86920869208692
"['close_pc', 'high_wave']",41.348913489134894
"['close_pc', 'hikkake']",40.07790077900779
"['close_pc', 'homing_pigeon']",42.4969249692497
"['close_pc', 'identical_three_crows']",28.761787617876177
"['close_pc', 'in_neck']",28.761787617876177
"['close_pc', 'inverted_hammer']",28.90528905289053
"['close_pc', 'kicking']",42.68142681426814
"['close_pc', 'kicking_by_length']",42.68142681426814
"['close_pc', 'ladder_bottom']",28.12628126281263
"['close_pc', 'long_leader']",28.33128331283313
"['close_pc', 'long_line']",41.348913489134894
"['close_pc', 'marubozu']",42.10742107421074
"['close_pc', 'matching_low']",28.94628946289463
"['close_pc', 'mat_hold']",42.68142681426814
"['close_pc', 'morning_doji_star']",42.66092660926609
"['close_pc', 'morning_star']",27.77777777777778
"['close_pc', 'on_neck']",28.761787617876177
"['close_pc', 'piercing']",42.66092660926609
"['close_pc', 'rickshaw_man']",28.63878638786388
"['close_pc', 'rise_fall_three_methods']",28.761787617876177
"['close_pc', 'separating_lines']",42.72242722427224
"['close_pc', 'shooting_star']",42.14842148421484
"['close_pc', 'short_line']",31.098810988109882
"['close_pc', 'spinning_top']",39.66789667896679
"['close_pc', 'stalled_pattern']",42.701927019270194
"['close_pc', 'stick_sandwich']",28.74128741287413
"['close_pc', 'takuri']",28.49528495284953
"['close_pc', 'tasuki_gap']",42.66092660926609
"['close_pc', 'thrusting']",42.68142681426814
"['close_pc', 'tristar']",42.476424764247646
"['close_pc', 'unique_3_river']",42.701927019270194
"['close_pc', 'upside_gap_2_crows']",0.0
"['close_pc', 'side_gap_3_methods']",42.66092660926609
"['close_pc', 'ad']",29.294792947929476
"['close_pc', 'adosc']",28.761787617876177
"['close_pc', 'obv']",41.225912259122595
"['close_pc', 'adx']",38.191881918819185
"['close_pc', 'ht_trendline']",38.58138581385814
"['close_pc', 'kama']",38.04838048380484
"['close_pc', 'mama']",30.09430094300943
"['close_pc', 'fama']",30.25830258302583
"['close_pc', 'sar']",31.857318573185733
"['close_pc', 'volatility']",38.76588765887659
"['volume_pc', 'vwap_pc']",37.002870028700286
"['volume_pc', 'fracocp']",28.884788847888476
"['volume_pc', 'frachp']",35.342353423534234
"['volume_pc', 'fraclp']",28.14678146781468
"['volume_pc', 'sma_1']",28.72078720787208
"['volume_pc', 'sma_2']",30.31980319803198
"['volume_pc', 'sma_3']",30.77080770807708
"['volume_pc', 'sma_4']",29.704797047970477
"['volume_pc', 'ema_1']",46.41246412464125
"['volume_pc', 'ema_2']",30.176301763017634
"['volume_pc', 'ema_3']",28.823288232882327
"['volume_pc', 'ema_4']",30.79130791307913
"['volume_pc', 'atr']",33.29233292332923
"['volume_pc', 'natr']",29.54079540795408
"['volume_pc', 'tr']",37.02337023370234
"['volume_pc', 'rsi']",30.278802788027882
"['volume_pc', 'slow_k']",31.119311193111933
"['volume_pc', 'slow_d']",30.66830668306683
"['volume_pc', 'three_black_crows']",35.13735137351374
"['volume_pc', 'three_inside']",28.51578515785158
"['volume_pc', 'three_lines']",28.51578515785158
"['volume_pc', 'three_outside']",28.761787617876177
"['volume_pc', 'three_stars']",41.51291512915129
"['volume_pc', 'three_whitesoldiers']",28.51578515785158
"['volume_pc', 'abandoned_baby']",42.68142681426814
"['volume_pc', 'advance_block']",28.51578515785158
"['volume_pc', 'belthold']",28.51578515785158
"['volume_pc', 'breakaway']",41.53341533415334
