Features,Seed,Accuracy,Profit,Label Order
"['open_pc', 'ema_a']",9,30.990415335463258,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_b']",0,30.35143769968051,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_b']",1,30.35143769968051,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_b']",2,32.26837060702875,1116.3329069395586,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_b']",3,34.504792332268366,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_b']",4,30.35143769968051,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_b']",5,30.35143769968051,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_b']",6,30.35143769968051,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_b']",7,32.26837060702875,1116.3329069395586,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'ema_b']",8,30.35143769968051,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_b']",9,32.26837060702875,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_c']",0,30.031948881789138,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_c']",1,30.031948881789138,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_c']",2,30.670926517571885,1116.3329069395586,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_c']",3,36.42172523961661,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_c']",4,30.031948881789138,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_c']",5,30.031948881789138,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_c']",6,30.031948881789138,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_c']",7,30.670926517571885,1116.3329069395586,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'ema_c']",8,30.670926517571885,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_c']",9,30.670926517571885,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_d']",0,29.712460063897762,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_d']",1,43.76996805111821,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_d']",2,36.42172523961661,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_d']",3,39.29712460063898,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_d']",4,32.587859424920126,1722.9845318925145,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_d']",5,32.587859424920126,1722.9845318925145,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_d']",6,18.849840255591054,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_d']",7,43.76996805111821,97.17971283001316,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'ema_d']",8,32.587859424920126,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_d']",9,43.76996805111821,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'atr']",0,29.39297124600639,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'atr']",1,24.920127795527154,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'atr']",2,29.39297124600639,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'atr']",3,24.600638977635782,1116.3329069395586,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'atr']",4,24.600638977635782,1116.3329069395586,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'atr']",5,24.920127795527154,1116.3329069395586,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'atr']",6,29.39297124600639,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'atr']",7,24.920127795527154,1116.3329069395586,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'atr']",8,24.600638977635782,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'atr']",9,24.920127795527154,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'natr']",0,31.948881789137378,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'natr']",1,24.281150159744406,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'natr']",2,31.629392971246006,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'natr']",3,23.322683706070286,226.32514044943855,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'natr']",4,23.322683706070286,226.32514044943855,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'natr']",5,24.281150159744406,226.32514044943855,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'natr']",6,24.920127795527154,226.32514044943855,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'natr']",7,31.948881789137378,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'natr']",8,24.920127795527154,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'natr']",9,24.600638977635782,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'tr']",0,29.073482428115017,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'tr']",1,25.878594249201274,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'tr']",2,28.753993610223645,279.18177737881706,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'tr']",3,42.81150159744409,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'tr']",4,28.753993610223645,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'tr']",5,25.878594249201274,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'tr']",6,34.82428115015975,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'tr']",7,25.559105431309902,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'tr']",8,28.753993610223645,639.2758780036984,"['Bull', 'Bear', 'Choppy']"
